feature,importance
num__TREFHT,0.6351552
num__FSNS_lag1,0.232008
num__QBOT,0.03784749
num__monthly_cos,0.02292974
num__PRSN,0.0118087735
num__FSNS,0.011461694
num__lat,0.00840668
num__PRECT,0.0059908032
num__FLNS_lag1,0.0056429114
num__monthly_sin,0.0051479097
num__QBOT_lag1,0.004253364
num__lon,0.004173139
num__wind_speed,0.0038616792
num__FLNS,0.0034709699
num__TREFHT_lag1,0.0025119502
num__PRECT_lag1,0.0012914549
num__year,0.0012329692
num__wind_speed_lag1,0.0011083519
cat__scenario_006,0.00036138122
cat__scenario_003,0.0003167755
num__PRSN_lag1,0.00030421434
cat__scenario_008,0.00022510868
cat__scenario_007,0.00017688595
cat__scenario_004,0.00017280481
cat__scenario_005,0.00013978082
