scenario,season,n,rmse,mae,r2,bias
003,DJF,3906,0.2813315803042329,0.21327418088912964,0.9629999995231628,-0.0686308816075325
003,JJA,3906,0.62949713202892,0.40894147753715515,0.9333449602127075,-0.23764780163764954
003,MAM,3906,0.396671232342824,0.3033851385116577,0.9801342487335205,-0.08269022405147552
003,SON,3906,0.3570647201041724,0.2736944556236267,0.9877471327781677,-0.11635216325521469
004,DJF,3906,0.29869161242766845,0.22897417843341827,0.9535611271858215,-0.1133974939584732
004,JJA,3906,0.48319784298772184,0.31411850452423096,0.9561576247215271,-0.10128769278526306
004,MAM,3906,0.44399159261974386,0.32342231273651123,0.9790936708450317,-0.12967710196971893
004,SON,3906,0.36675407314314007,0.28395476937294006,0.9861499071121216,-0.12697955965995789
005,DJF,3906,0.29159089648291947,0.22382338345050812,0.9626546502113342,-0.06738641113042831
005,JJA,3906,0.44865078057663677,0.30284708738327026,0.960708737373352,-0.07493484765291214
005,MAM,3906,0.3936584941560511,0.30585384368896484,0.9815808534622192,-0.07740573585033417
005,SON,3906,0.37100429460579554,0.2870425581932068,0.9868444204330444,-0.11572234332561493
006,DJF,3906,0.28434566356963786,0.21818907558918,0.9592953324317932,-0.08181650191545486
006,JJA,3906,0.6301660418441339,0.3864390254020691,0.9348620176315308,-0.16045615077018738
006,MAM,3906,0.43216273288552265,0.333705335855484,0.9798674583435059,-0.13947588205337524
006,SON,3906,0.3694382935723429,0.2807268500328064,0.9865586161613464,-0.1116294413805008
007,DJF,3906,0.28877566256575504,0.22520866990089417,0.9626485705375671,-0.060095760971307755
007,JJA,3906,0.510163455228762,0.33149540424346924,0.9566563963890076,-0.11986012756824493
007,MAM,3906,0.4364338213183629,0.3313753604888916,0.9781530499458313,-0.14254237711429596
007,SON,3906,0.3557784439666489,0.26963433623313904,0.9874573349952698,-0.11810275167226791
008,DJF,3906,0.3015370595409711,0.23547600209712982,0.9575091600418091,-0.10645516961812973
008,JJA,3906,0.5213812393897995,0.3376096189022064,0.9490329027175903,-0.16045069694519043
008,MAM,3906,0.394931929674451,0.30090993642807007,0.98176109790802,-0.09995583444833755
008,SON,3906,0.3544997747781035,0.27122220396995544,0.9868413209915161,-0.10971369594335556
