year,n,rmse,mae,r2,bias
2050,3024,0.32391826079237784,0.23796573281288147,0.9946995973587036,-0.04300142824649811
2051,3024,0.2967205273141608,0.2255927175283432,0.9953560829162598,-0.021842168644070625
2052,3024,0.3126963832820212,0.24122442305088043,0.9951947331428528,0.007750304415822029
2053,3024,0.3204089694014231,0.23653081059455872,0.9950010180473328,-0.051470447331666946
2054,3024,0.3430235295441227,0.2514362335205078,0.9943979978561401,-0.04333510249853134
2055,3024,0.3149121411351597,0.24422898888587952,0.99493008852005,-0.016400806605815887
2056,3024,0.29911759013615824,0.22874394059181213,0.9955905675888062,-0.04723627492785454
2057,3024,0.361959555206719,0.2643354833126068,0.9937145113945007,-0.06421029567718506
2058,3024,0.4395620762022794,0.3065532445907593,0.991439163684845,-0.13286250829696655
2059,3024,0.3682686735521718,0.27251753211021423,0.993340790271759,-0.08655291050672531
2060,3024,0.36357258835518425,0.27192744612693787,0.9937119483947754,-0.0821969285607338
2061,3024,0.40562745224339275,0.2985469400882721,0.9933505654335022,-0.0990208312869072
2062,3024,0.33423676351731957,0.24720536172389984,0.9941957592964172,-0.08034660667181015
2063,3024,0.3463567599818535,0.26257479190826416,0.9938989281654358,-0.0973082035779953
2064,3024,0.34788076245000016,0.26380985975265503,0.9942046999931335,-0.0971360057592392
2065,3024,0.34922831562775,0.2602309286594391,0.9942944645881653,-0.08672210574150085
2066,3024,0.34664948022900555,0.2643144726753235,0.9934588074684143,-0.08071640878915787
2067,3024,0.3787030530544596,0.27855968475341797,0.9934172034263611,-0.09250706434249878
2068,3024,0.36160599617549194,0.27539440989494324,0.9938339591026306,-0.05926650017499924
2069,3024,0.4184881886441393,0.30924251675605774,0.9922298789024353,-0.15171168744564056
2070,3024,0.528892785130547,0.36315733194351196,0.9887595176696777,-0.19426311552524567
2071,3024,0.4684817182196281,0.3323926627635956,0.9906901717185974,-0.18970263004302979
2072,3024,0.45738944664340964,0.3296394944190979,0.9908876419067383,-0.16393549740314484
2073,3024,0.5632278184243766,0.3664587140083313,0.9864134788513184,-0.22765430808067322
2074,3024,0.45522590824421855,0.3239419758319855,0.989759087562561,-0.17145437002182007
2075,3024,0.5384160464059413,0.3553490936756134,0.987085223197937,-0.21340429782867432
2076,3024,0.4375332921848736,0.29832103848457336,0.9912545084953308,-0.13473346829414368
2077,3024,0.5574162750925217,0.3786446750164032,0.9868053197860718,-0.23227989673614502
2078,3024,0.533340380542608,0.3506839871406555,0.9872798919677734,-0.18696461617946625
2079,3024,0.4810379657324891,0.3466250002384186,0.9898830652236938,-0.17728327214717865
2080,3024,0.5044403203101514,0.344310462474823,0.9900599122047424,-0.1990082710981369
