period,month,pred_TREFMXAV_U,baseline_2050s,change_from_2050s
2050-2059,1,283.6899596785714,283.6899596785714,0.0
2050-2059,2,283.7840091111111,283.7840091111111,0.0
2050-2059,3,284.9730708095238,284.9730708095238,0.0
2050-2059,4,287.337252265873,287.337252265873,0.0
2050-2059,5,290.5286472579365,290.5286472579365,0.0
2050-2059,6,293.3839601309524,293.3839601309524,0.0
2050-2059,7,295.0182951547619,295.0182951547619,0.0
2050-2059,8,294.85157668253964,294.85157668253964,0.0
2050-2059,9,292.55676833730155,292.55676833730155,0.0
2050-2059,10,289.244841281746,289.244841281746,0.0
2050-2059,11,286.18473086507936,286.18473086507936,0.0
2050-2059,12,284.20248701984127,284.20248701984127,0.0
2060-2069,1,283.9338095039683,283.6899596785714,0.24384982539686462
2060-2069,2,284.20453815079367,283.7840091111111,0.42052903968254896
2060-2069,3,285.1755408968254,284.9730708095238,0.20247008730160587
2060-2069,4,287.6487131746032,287.337252265873,0.31146090873016874
2060-2069,5,290.92935764285716,290.5286472579365,0.40071038492067146
2060-2069,6,293.7706854960318,293.3839601309524,0.3867253650793714
2060-2069,7,295.45429461904763,295.0182951547619,0.43599946428571457
2060-2069,8,295.43395129761905,294.85157668253964,0.5823746150794022
2060-2069,9,293.1106950436508,292.55676833730155,0.553926706349273
2060-2069,10,289.639443218254,289.244841281746,0.3946019365079678
2060-2069,11,286.2165172261905,286.18473086507936,0.031786361111130645
2060-2069,12,284.56889278174606,284.20248701984127,0.3664057619047867
2070-2080,1,284.0790673232323,283.6899596785714,0.3891076446608963
2070-2080,2,284.2932152886003,283.7840091111111,0.5092061774892045
2070-2080,3,285.5985278932179,284.9730708095238,0.6254570836941298
2070-2080,4,288.1983817496392,287.337252265873,0.8611294837662058
2070-2080,5,291.3524004004329,290.5286472579365,0.8237531424964004
2070-2080,6,294.35660708513706,293.3839601309524,0.9726469541846541
2070-2080,7,296.03844783910534,295.0182951547619,1.0201526843434294
2070-2080,8,295.8030608008658,294.85157668253964,0.9514841183261638
2070-2080,9,293.53379333333334,292.55676833730155,0.9770249960317869
2070-2080,10,290.12564097402594,289.244841281746,0.8807996922799362
2070-2080,11,286.49097374458876,286.18473086507936,0.3062428795093979
2070-2080,12,284.7435523953824,284.20248701984127,0.541065375541109
