fold,scenario,n,rmse,mae,r2,bias
1,003,2520,0.37452033280434327,0.25332146883010864,0.9931432008743286,-0.02007286436855793
1,004,2520,0.2901591428079438,0.2232963889837265,0.9950944185256958,0.0028087676037102938
1,005,2520,0.2974351692685523,0.2241688072681427,0.9951844811439514,-0.00807319488376379
1,006,2520,0.2921771863657283,0.22580018639564514,0.9957178831100464,-0.017013391479849815
1,007,2520,0.2990984348603394,0.23219284415245056,0.9950808882713318,0.02243141271173954
1,008,2520,0.31102393353155733,0.23240166902542114,0.9956810474395752,-0.01013992540538311
2,003,2520,0.29023004274485015,0.22210948169231415,0.9956207275390625,-0.02632632851600647
2,004,2520,0.3465689898778443,0.25976452231407166,0.9933205246925354,-0.08146648108959198
2,005,2520,0.31422728964622193,0.23865140974521637,0.9951874613761902,-0.01231568306684494
2,006,2520,0.27668428595196826,0.21268746256828308,0.995764434337616,-0.02191074937582016
2,007,2520,0.28521057813265815,0.21327979862689972,0.995913565158844,-0.026593513786792755
2,008,2520,0.2773259116870073,0.21213489770889282,0.995895266532898,-0.015814583748579025
3,003,2520,0.30191930751758145,0.22424234449863434,0.994769275188446,-0.024247681722044945
3,004,2520,0.3207522722841679,0.24546973407268524,0.9948490858078003,-0.02710767462849617
3,005,2520,0.3790533625734984,0.2809021472930908,0.9927623867988586,-0.062255628407001495
3,006,2520,0.31992069565552145,0.24154581129550934,0.9944087862968445,-0.07851776480674744
3,007,2520,0.3411801359776365,0.2581363618373871,0.994166910648346,-0.1228398010134697
3,008,2520,0.2689369809834736,0.20793400704860687,0.9961826205253601,-0.006315903272479773
4,003,2520,0.28396993282907584,0.22066718339920044,0.9961097240447998,0.036472029983997345
4,004,2520,0.3373349642791134,0.24735410511493683,0.9947235584259033,-0.009830414317548275
4,005,2520,0.29974851796576835,0.22474738955497742,0.9953485131263733,-0.01895836740732193
4,006,2520,0.36375560349805325,0.24695657193660736,0.9931992292404175,0.02192678302526474
4,007,2520,0.3451161762907092,0.25916844606399536,0.9941696524620056,-0.00864347442984581
4,008,2520,0.30653079307367315,0.23088565468788147,0.9954136610031128,-0.004016960971057415
