month,mae,n,rmse,model
1,0.18999207,5040,0.24362308,With TREFHT
2,0.21392083,5040,0.2813233,With TREFHT
3,0.26671037,5040,0.3494645,With TREFHT
4,0.29176688,5040,0.38451907,With TREFHT
5,0.2640388,5040,0.34555674,With TREFHT
6,0.23316568,5040,0.30297017,With TREFHT
7,0.24365021,5040,0.36407575,With TREFHT
8,0.22789462,5040,0.31454012,With TREFHT
9,0.24534065,5040,0.32693562,With TREFHT
10,0.22211921,5040,0.29838514,With TREFHT
11,0.21325958,5040,0.2751142,With TREFHT
12,0.20705043,5040,0.26010066,With TREFHT
1,0.2655248,5040,0.35094145,Without TREFHT
2,0.27148214,5040,0.34777007,Without TREFHT
3,0.3510132,5040,0.45944643,Without TREFHT
4,0.4732632,5040,0.6475778,Without TREFHT
5,0.47980627,5040,0.6384149,Without TREFHT
6,0.43529955,5040,0.577307,Without TREFHT
7,0.40325063,5040,0.5394195,Without TREFHT
8,0.33784276,5040,0.44478106,Without TREFHT
9,0.2885408,5040,0.37579465,Without TREFHT
10,0.2601731,5040,0.33585438,Without TREFHT
11,0.27223969,5040,0.34382415,Without TREFHT
12,0.26710767,5040,0.33540165,Without TREFHT
