scenario,rmse,mae,r2,model
003,0.3126599039739627,0.2300851196050644,0.9949107319116592,With TREFHT
004,0.32370384231226734,0.24397118762135506,0.9944968968629837,With TREFHT
005,0.32261608486351023,0.24211743846535683,0.9946207106113434,With TREFHT
006,0.31313444286781783,0.23174750804901123,0.9947725832462311,With TREFHT
007,0.3176513313153358,0.24069436267018318,0.9948327541351318,With TREFHT
008,0.29095440481892787,0.22083905711770058,0.9957931488752365,With TREFHT
003,0.45032088763387634,0.3344360888004303,0.9895172715187073,Without TREFHT
004,0.46583543300658176,0.3472462296485901,0.9885894805192947,Without TREFHT
005,0.49245544874695446,0.3592219352722168,0.9874462187290192,Without TREFHT
006,0.44487279219763753,0.32472141087055206,0.9895138591527939,Without TREFHT
007,0.4615020935476583,0.34428591281175613,0.989097386598587,Without TREFHT
008,0.4606442231599709,0.3428603634238243,0.9894410967826843,Without TREFHT
