feature,importance
num__TREFHT,0.6307214
num__FSNS_lag1,0.23617117
num__QBOT,0.03573518
num__monthly_cos,0.02225362
num__PRSN,0.015223556
num__FSNS,0.011187613
num__lat,0.008734935
num__monthly_sin,0.006129656
num__FLNS_lag1,0.0055930777
num__PRECT,0.0054564294
num__lon,0.004198529
num__wind_speed,0.003701716
num__FLNS,0.0035093324
num__QBOT_lag1,0.0033195845
num__TREFHT_lag1,0.002650686
num__PRECT_lag1,0.0013558251
num__wind_speed_lag1,0.0012699859
num__year,0.00089093985
cat__scenario_006,0.0003790064
num__PRSN_lag1,0.00031262098
cat__scenario_005,0.00028431512
cat__scenario_008,0.00028151894
cat__scenario_007,0.00023802923
cat__scenario_003,0.0002307903
cat__scenario_004,0.00017058397
