feature,importance
num__FSNS_lag1,0.54932654
num__QBOT,0.1642204
num__monthly_cos,0.15590377
num__monthly_sin,0.02715854
num__PRSN,0.025193961
num__FSNS,0.017393377
num__QBOT_lag1,0.017326215
num__lat,0.013457533
num__PRECT,0.0073255766
num__lon,0.004665148
num__FLNS,0.0037634084
num__wind_speed,0.003252869
num__FLNS_lag1,0.0030980466
num__year,0.002660694
num__wind_speed_lag1,0.0017573587
num__PRECT_lag1,0.0007066337
cat__scenario_006,0.00056541146
num__PRSN_lag1,0.0004916864
cat__scenario_005,0.00048955524
cat__scenario_003,0.00046179266
cat__scenario_008,0.00031062498
cat__scenario_007,0.0002620086
cat__scenario_004,0.00020888553
